year,state,sex,prev_low,prev_medium,prev_high
2024,Virgin Islands,female,0.2844,0.064,0.0157
2024,Vermont,male,0.3727,0.20010000000000003,0.07519999999999999
2024,Vermont,female,0.3709,0.1322,0.0895
2024,Washington,male,0.3673,0.1751,0.0528
2024,Washington,female,0.31539999999999996,0.11699999999999999,0.0648
2024,Wisconsin,male,0.2969000000000001,0.2451,0.0766
2024,Wisconsin,female,0.3331,0.1355,0.0703
2024,West Virginia,male,0.20810000000000003,0.184,0.0676
2024,West Virginia,female,0.19939999999999997,0.0833,0.029900000000000003
2024,Wyoming,male,0.27490000000000003,0.21030000000000001,0.0659
2024,Wyoming,female,0.28470000000000006,0.11689999999999999,0.0576
2023,Alaska,male,0.259,0.204,0.08800000000000001
2023,Alaska,female,0.292,0.133,0.079
2023,Alabama,male,0.257,0.17600000000000002,0.073
2023,Alabama,female,0.24600000000000002,0.086,0.049
2023,Arkansas,male,0.25699999999999995,0.182,0.064
2023,Arkansas,female,0.21600000000000003,0.092,0.048
2023,Arizona,male,0.31799999999999995,0.18100000000000002,0.059000000000000004
2023,Arizona,female,0.301,0.11,0.055999999999999994
2023,California,male,0.3399999999999999,0.183,0.051
2023,California,female,0.29400000000000004,0.102,0.045
2023,Colorado,male,0.36499999999999994,0.221,0.062
2023,Colorado,female,0.35800000000000004,0.139,0.073
2023,Connecticut,male,0.384,0.184,0.062
2023,Connecticut,female,0.36699999999999994,0.114,0.057
2023,District of Columbia,male,0.32699999999999996,0.314,0.067
2023,District of Columbia,female,0.316,0.235,0.09699999999999999
2023,Delaware,male,0.36200000000000004,0.16699999999999998,0.047
2023,Delaware,female,0.324,0.109,0.057
2023,Florida,male,0.34299999999999997,0.19399999999999998,0.067
2023,Florida,female,0.30900000000000005,0.098,0.065
2023,Georgia,male,0.30699999999999994,0.17800000000000002,0.059000000000000004
2023,Georgia,female,0.299,0.10400000000000001,0.051
2023,Guam,male,0.17700000000000002,0.298,0.102
2023,Guam,female,0.18200000000000002,0.12,0.064
2023,Hawaii,male,0.24100000000000002,0.22699999999999998,0.08900000000000001
2023,Hawaii,female,0.21900000000000003,0.139,0.08199999999999999
2023,Iowa,male,0.285,0.255,0.083
2023,Iowa,female,0.306,0.158,0.062
2023,Idaho,male,0.286,0.188,0.052000000000000005
2023,Idaho,female,0.24700000000000003,0.11,0.064
2023,Illinois,male,0.33,0.239,0.05
2023,Illinois,female,0.31799999999999995,0.128,0.055
2023,Indiana,male,0.293,0.196,0.063
2023,Indiana,female,0.28800000000000003,0.11,0.042
2023,Kansas,male,0.318,0.198,0.062
2023,Kansas,female,0.29500000000000004,0.124,0.067
2023,Louisiana,male,0.252,0.212,0.07
2023,Louisiana,female,0.286,0.11,0.062
2023,Massachusetts,male,0.3439999999999999,0.218,0.062
2023,Massachusetts,female,0.373,0.11699999999999999,0.065
2023,Maryland,male,0.37200000000000005,0.159,0.036000000000000004
2023,Maryland,female,0.33100000000000007,0.102,0.043
2023,Maine,male,0.32,0.188,0.08
2023,Maine,female,0.325,0.115,0.083
2023,Michigan,male,0.321,0.193,0.055999999999999994
2023,Michigan,female,0.30400000000000005,0.11199999999999999,0.06
2023,Minnesota,male,0.354,0.204,0.055999999999999994
2023,Minnesota,female,0.355,0.138,0.062
2023,Missouri,male,0.27599999999999997,0.205,0.068
2023,Missouri,female,0.272,0.124,0.048
2023,Mississippi,male,0.23600000000000002,0.179,0.071
2023,Mississippi,female,0.24600000000000002,0.08800000000000001,0.052000000000000005
2023,Montana,male,0.301,0.23600000000000002,0.09
2023,Montana,female,0.326,0.154,0.075
2023,North Carolina,male,0.29100000000000004,0.183,0.055999999999999994
2023,North Carolina,female,0.29800000000000004,0.094,0.049
2023,North Dakota,male,0.29900000000000004,0.264,0.07400000000000001
2023,North Dakota,female,0.32699999999999996,0.157,0.051
2023,Nebraska,male,0.3340000000000001,0.23199999999999998,0.063
2023,Nebraska,female,0.306,0.151,0.06
2023,New Hampshire,male,0.38299999999999995,0.19399999999999998,0.071
2023,New Hampshire,female,0.39000000000000007,0.11800000000000001,0.084
2023,New Jersey,male,0.37799999999999995,0.18100000000000002,0.046
2023,New Jersey,female,0.336,0.113,0.040999999999999995
2023,New Mexico,male,0.287,0.16399999999999998,0.052000000000000005
2023,New Mexico,female,0.281,0.08900000000000001,0.046
2023,Nevada,male,0.314,0.214,0.08199999999999999
2023,Nevada,female,0.31500000000000006,0.10400000000000001,0.052000000000000005
2023,New York,male,0.35900000000000004,0.187,0.05
2023,New York,female,0.32799999999999996,0.114,0.051
2023,Ohio,male,0.306,0.19,0.064
2023,Ohio,female,0.286,0.125,0.062
2023,Oklahoma,male,0.26899999999999996,0.185,0.059000000000000004
2023,Oklahoma,female,0.248,0.091,0.038
2023,Oregon,male,0.347,0.17600000000000002,0.065
2023,Oregon,female,0.34,0.114,0.07200000000000001
2023,Puerto Rico,male,0.195,0.18,0.054000000000000006
2023,Puerto Rico,female,0.157,0.07,0.02
2023,Rhode Island,male,0.33299999999999996,0.207,0.063
2023,Rhode Island,female,0.33299999999999996,0.126,0.069
2023,South Carolina,male,0.301,0.188,0.071
2023,South Carolina,female,0.27699999999999997,0.105,0.055999999999999994
2023,South Dakota,male,0.31100000000000005,0.239,0.077
2023,South Dakota,female,0.355,0.159,0.069
2023,Tennessee,male,0.308,0.171,0.066
2023,Tennessee,female,0.261,0.10400000000000001,0.05
2023,Texas,male,0.27799999999999997,0.20600000000000002,0.069
2023,Texas,female,0.25800000000000006,0.135,0.049
2023,Utah,male,0.16099999999999998,0.158,0.045
2023,Utah,female,0.17300000000000001,0.08199999999999999,0.033
2023,Virginia,male,0.37699999999999995,0.14300000000000002,0.049
2023,Virginia,female,0.29799999999999993,0.11800000000000001,0.063
2023,Virgin Islands,male,0.268,0.18899999999999997,0.1
2023,Virgin Islands,female,0.24799999999999997,0.111,0.044000000000000004
2023,Vermont,male,0.375,0.198,0.067
2023,Vermont,female,0.36800000000000005,0.11699999999999999,0.084
2023,Washington,male,0.369,0.18600000000000003,0.057
2023,Washington,female,0.348,0.126,0.071
2023,Wisconsin,male,0.314,0.23600000000000002,0.08
2023,Wisconsin,female,0.332,0.134,0.065
2023,West Virginia,male,0.23600000000000002,0.18,0.071
2023,West Virginia,female,0.207,0.073,0.033
2023,Wyoming,male,0.30199999999999994,0.172,0.066
2023,Wyoming,female,0.283,0.11800000000000001,0.065
2022,Alaska,male,0.269,0.207,0.078
2022,Alaska,female,0.27699999999999997,0.147,0.08800000000000001
2022,Alabama,male,0.262,0.162,0.068
2022,Alabama,female,0.239,0.096,0.05
2022,Arkansas,male,0.205,0.2,0.09
2022,Arkansas,female,0.21000000000000005,0.11900000000000001,0.067
2022,Arizona,male,0.275,0.209,0.073
2022,Arizona,female,0.297,0.138,0.068
2022,California,male,0.29800000000000004,0.217,0.064
2022,California,female,0.272,0.134,0.062
2022,Colorado,male,0.3489999999999999,0.23199999999999998,0.07
2022,Colorado,female,0.3339999999999999,0.152,0.092
2022,Connecticut,male,0.376,0.182,0.059000000000000004
2022,Connecticut,female,0.352,0.136,0.062
2022,District of Columbia,male,0.33399999999999996,0.27699999999999997,0.079
2022,District of Columbia,female,0.30500000000000005,0.243,0.111
2022,Delaware,male,0.35600000000000004,0.165,0.048
2022,Delaware,female,0.33,0.11599999999999999,0.061
2022,Florida,male,0.32199999999999995,0.185,0.07200000000000001
2022,Florida,female,0.32299999999999995,0.111,0.08
2022,Georgia,male,0.292,0.183,0.073
2022,Georgia,female,0.284,0.10800000000000001,0.052000000000000005
2022,Guam,male,0.14100000000000004,0.26899999999999996,0.11199999999999999
2022,Guam,female,0.174,0.11199999999999999,0.067
2022,Hawaii,male,0.24199999999999997,0.23199999999999998,0.08900000000000001
2022,Hawaii,female,0.23299999999999998,0.133,0.073
2022,Iowa,male,0.24400000000000005,0.287,0.1
2022,Iowa,female,0.279,0.14400000000000002,0.062
2022,Idaho,male,0.253,0.196,0.07200000000000001
2022,Idaho,female,0.254,0.115,0.071
2022,Illinois,male,0.35100000000000003,0.214,0.057
2022,Illinois,female,0.32899999999999996,0.13,0.046
2022,Indiana,male,0.307,0.184,0.057
2022,Indiana,female,0.281,0.10800000000000001,0.055999999999999994
2022,Kansas,male,0.311,0.217,0.071
2022,Kansas,female,0.307,0.125,0.053
2022,Kentucky,male,0.17799999999999996,0.17300000000000001,0.057
2022,Kentucky,female,0.176,0.086,0.037000000000000005
2022,Louisiana,male,0.267,0.222,0.083
2022,Louisiana,female,0.26899999999999996,0.121,0.064
2022,Massachusetts,male,0.35700000000000004,0.20800000000000002,0.057
2022,Massachusetts,female,0.34,0.14,0.076
2022,Maryland,male,0.345,0.17,0.051
2022,Maryland,female,0.32799999999999996,0.10300000000000001,0.052000000000000005
2022,Maine,male,0.29699999999999993,0.193,0.081
2022,Maine,female,0.31000000000000005,0.11699999999999999,0.077
2022,Michigan,male,0.325,0.2,0.07
2022,Michigan,female,0.29600000000000004,0.141,0.07400000000000001
2022,Minnesota,male,0.307,0.239,0.078
2022,Minnesota,female,0.324,0.156,0.081
2022,Missouri,male,0.25299999999999995,0.235,0.085
2022,Missouri,female,0.259,0.14400000000000002,0.075
2022,Mississippi,male,0.23,0.19,0.07
2022,Mississippi,female,0.22700000000000004,0.085,0.049
2022,Montana,male,0.26399999999999996,0.261,0.10300000000000001
2022,Montana,female,0.301,0.172,0.10099999999999999
2022,North Carolina,male,0.26399999999999996,0.222,0.067
2022,North Carolina,female,0.26299999999999996,0.115,0.055999999999999994
2022,North Dakota,male,0.233,0.289,0.09300000000000001
2022,North Dakota,female,0.305,0.165,0.07400000000000001
2022,Nebraska,male,0.32199999999999995,0.23199999999999998,0.07400000000000001
2022,Nebraska,female,0.29,0.156,0.071
2022,New Hampshire,male,0.37900000000000006,0.20600000000000002,0.064
2022,New Hampshire,female,0.348,0.134,0.092
2022,New Jersey,male,0.38000000000000006,0.188,0.044000000000000004
2022,New Jersey,female,0.34299999999999997,0.122,0.057
2022,New Mexico,male,0.26899999999999996,0.204,0.075
2022,New Mexico,female,0.268,0.10300000000000001,0.051
2022,Nevada,male,0.31899999999999995,0.222,0.07200000000000001
2022,Nevada,female,0.285,0.129,0.075
2022,New York,male,0.343,0.207,0.061
2022,New York,female,0.30000000000000004,0.129,0.062
2022,Ohio,male,0.285,0.225,0.069
2022,Ohio,female,0.274,0.14400000000000002,0.063
2022,Oklahoma,male,0.273,0.172,0.052000000000000005
2022,Oklahoma,female,0.23800000000000002,0.10099999999999999,0.038
2022,Oregon,male,0.31200000000000006,0.222,0.08199999999999999
2022,Oregon,female,0.31,0.139,0.086
2022,Pennsylvania,male,0.27899999999999997,0.21,0.071
2022,Pennsylvania,female,0.285,0.134,0.06
2022,Puerto Rico,male,0.18900000000000003,0.19,0.063
2022,Puerto Rico,female,0.146,0.083,0.031
2022,Rhode Island,male,0.343,0.21899999999999997,0.065
2022,Rhode Island,female,0.332,0.127,0.067
2022,South Carolina,male,0.29800000000000004,0.203,0.071
2022,South Carolina,female,0.268,0.13,0.069
2022,South Dakota,male,0.27699999999999997,0.261,0.081
2022,South Dakota,female,0.316,0.126,0.05
2022,Tennessee,male,0.27399999999999997,0.196,0.068
2022,Tennessee,female,0.255,0.109,0.064
2022,Texas,male,0.27799999999999997,0.217,0.08
2022,Texas,female,0.28600000000000003,0.114,0.059000000000000004
2022,Utah,male,0.165,0.16,0.054000000000000006
2022,Utah,female,0.154,0.096,0.046
2022,Virginia,male,0.30000000000000004,0.20800000000000002,0.069
2022,Virginia,female,0.315,0.129,0.065
2022,Virgin Islands,male,NA,0.084,NA
2022,Virgin Islands,female,NA,0.087,NA
2022,Vermont,male,0.325,0.222,0.087
2022,Vermont,female,0.33899999999999997,0.141,0.109
2022,Washington,male,0.357,0.188,0.061
2022,Washington,female,0.327,0.128,0.077
2022,Wisconsin,male,0.31299999999999994,0.25,0.083
2022,Wisconsin,female,0.34900000000000003,0.157,0.075
2022,West Virginia,male,0.21400000000000002,0.188,0.07
2022,West Virginia,female,0.19299999999999998,0.09,0.045
2022,Wyoming,male,0.275,0.226,0.079
2022,Wyoming,female,0.263,0.141,0.083
2021,Alaska,male,0.279,0.205,0.077
2021,Alaska,female,0.292,0.14300000000000002,0.098
2021,Alabama,male,0.231,0.17300000000000001,0.066
2021,Alabama,female,0.22400000000000003,0.08199999999999999,0.036000000000000004
2021,Arkansas,male,0.248,0.171,0.068
2021,Arkansas,female,0.235,0.087,0.053
2021,Arizona,male,0.29500000000000004,0.204,0.07200000000000001
2021,Arizona,female,0.29400000000000004,0.114,0.054000000000000006
2021,California,male,0.3499999999999999,0.188,0.055999999999999994
2021,California,female,0.31499999999999995,0.11199999999999999,0.066
2021,Colorado,male,0.35700000000000004,0.23199999999999998,0.065
2021,Colorado,female,0.344,0.142,0.081
2021,Connecticut,male,0.415,0.165,0.045
2021,Connecticut,female,0.344,0.11,0.061
2021,District of Columbia,male,0.396,0.267,0.059000000000000004
2021,District of Columbia,female,0.31999999999999995,0.188,0.111
2021,Delaware,male,0.361,0.16399999999999998,0.055
2021,Delaware,female,0.35900000000000004,0.09699999999999999,0.045
2021,Georgia,male,0.29100000000000004,0.2,0.07
2021,Georgia,female,0.308,0.095,0.055999999999999994
2021,Guam,male,0.158,0.217,0.064
2021,Guam,female,0.18699999999999994,0.121,0.046
2021,Hawaii,male,0.26899999999999996,0.21,0.07400000000000001
2021,Hawaii,female,0.24,0.12300000000000001,0.067
2021,Iowa,male,0.27699999999999997,0.261,0.085
2021,Iowa,female,0.314,0.14300000000000002,0.055999999999999994
2021,Idaho,male,0.259,0.172,0.068
2021,Idaho,female,0.27699999999999997,0.11,0.067
2021,Illinois,male,0.285,0.185,0.055
2021,Illinois,female,0.332,0.114,0.045
2021,Indiana,male,0.29899999999999993,0.193,0.062
2021,Indiana,female,0.286,0.11800000000000001,0.057
2021,Kansas,male,0.31499999999999995,0.221,0.068
2021,Kansas,female,0.301,0.134,0.055
2021,Kentucky,male,0.228,0.166,0.057
2021,Kentucky,female,0.21499999999999997,0.09,0.033
2021,Louisiana,male,0.285,0.215,0.078
2021,Louisiana,female,0.2809999999999999,0.133,0.065
2021,Massachusetts,male,0.37300000000000005,0.19699999999999998,0.059000000000000004
2021,Massachusetts,female,0.34299999999999997,0.131,0.067
2021,Maryland,male,0.35800000000000004,0.163,0.046
2021,Maryland,female,0.33899999999999997,0.1,0.05
2021,Maine,male,0.315,0.204,0.084
2021,Maine,female,0.325,0.105,0.081
2021,Michigan,male,0.322,0.20199999999999999,0.07200000000000001
2021,Michigan,female,0.29900000000000004,0.12300000000000001,0.057999999999999996
2021,Minnesota,male,0.338,0.21899999999999997,0.068
2021,Minnesota,female,0.35600000000000004,0.139,0.071
2021,Missouri,male,0.278,0.22,0.078
2021,Missouri,female,0.293,0.115,0.055999999999999994
2021,Mississippi,male,0.22499999999999998,0.17600000000000002,0.068
2021,Mississippi,female,0.204,0.08,0.054000000000000006
2021,Montana,male,0.322,0.256,0.092
2021,Montana,female,0.29900000000000004,0.154,0.07400000000000001
2021,North Carolina,male,0.31100000000000005,0.19899999999999998,0.052000000000000005
2021,North Carolina,female,0.27199999999999996,0.111,0.055999999999999994
2021,North Dakota,male,0.309,0.263,0.081
2021,North Dakota,female,0.314,0.15,0.052000000000000005
2021,Nebraska,male,0.319,0.248,0.073
2021,Nebraska,female,0.33100000000000007,0.14300000000000002,0.063
2021,New Hampshire,male,0.38299999999999995,0.183,0.067
2021,New Hampshire,female,0.375,0.11,0.08
2021,New Jersey,male,0.38800000000000007,0.185,0.049
2021,New Jersey,female,0.332,0.11,0.054000000000000006
2021,New Mexico,male,0.295,0.168,0.05
2021,New Mexico,female,0.253,0.09699999999999999,0.045
2021,Nevada,male,0.305,0.16899999999999998,0.049
2021,Nevada,female,0.32299999999999995,0.086,0.05
2021,New York,male,0.3509999999999999,0.18600000000000003,0.052000000000000005
2021,New York,female,0.307,0.115,0.057
2021,Ohio,male,0.292,0.203,0.068
2021,Ohio,female,0.30199999999999994,0.135,0.055999999999999994
2021,Oklahoma,male,0.264,0.166,0.051
2021,Oklahoma,female,0.249,0.075,0.026000000000000002
2021,Oregon,male,0.32099999999999995,0.205,0.08800000000000001
2021,Oregon,female,0.32799999999999996,0.113,0.08199999999999999
2021,Pennsylvania,male,0.321,0.188,0.071
2021,Pennsylvania,female,0.307,0.121,0.062
2021,Puerto Rico,male,0.19099999999999995,0.17800000000000002,0.054000000000000006
2021,Puerto Rico,female,0.14200000000000002,0.075,0.026000000000000002
2021,Rhode Island,male,0.337,0.222,0.063
2021,Rhode Island,female,0.35600000000000004,0.128,0.071
2021,South Carolina,male,0.29500000000000004,0.195,0.067
2021,South Carolina,female,0.28900000000000003,0.109,0.057999999999999996
2021,South Dakota,male,0.30300000000000005,0.244,0.075
2021,South Dakota,female,0.316,0.14800000000000002,0.059000000000000004
2021,Tennessee,male,0.26899999999999996,0.185,0.054000000000000006
2021,Tennessee,female,0.257,0.10300000000000001,0.055999999999999994
2021,Texas,male,0.299,0.21100000000000002,0.069
2021,Texas,female,0.287,0.12,0.046
2021,Utah,male,0.175,0.151,0.046
2021,Utah,female,0.16300000000000003,0.084,0.034
2021,Virginia,male,0.3459999999999999,0.185,0.057
2021,Virginia,female,0.324,0.125,0.06
2021,Virgin Islands,male,0.303,0.184,0.081
2021,Virgin Islands,female,NA,0.077,NA
2021,Vermont,male,0.3629999999999999,0.20199999999999999,0.081
2021,Vermont,female,0.3509999999999999,0.138,0.09
2021,Washington,male,0.37,0.18899999999999997,0.062
2021,Washington,female,0.32299999999999995,0.11699999999999999,0.07
2021,Wisconsin,male,0.33,0.259,0.079
2021,Wisconsin,female,0.35100000000000003,0.179,0.085
2021,West Virginia,male,0.228,0.165,0.062
2021,West Virginia,female,0.18100000000000002,0.07,0.037000000000000005
2021,Wyoming,male,0.321,0.193,0.066
2021,Wyoming,female,0.292,0.125,0.068
2020,Alaska,male,0.285,0.221,0.091
2020,Alaska,female,0.279,0.132,0.098
2020,Alabama,female,0.24400000000000002,0.087,0.04
2020,Alabama,male,0.27099999999999996,0.18100000000000002,0.068
2020,Arkansas,female,0.21299999999999997,0.111,0.051
2020,Arkansas,male,0.233,0.18,0.08800000000000001
2020,Arizona,female,0.30200000000000005,0.1,0.059000000000000004
2020,Arizona,male,0.292,0.188,0.071
2020,California,male,0.311,0.20800000000000002,0.059000000000000004
2020,California,female,0.29200000000000004,0.114,0.066
2020,Colorado,male,0.34600000000000003,0.217,0.076
2020,Colorado,female,0.32699999999999996,0.142,0.079
2020,Connecticut,female,0.36300000000000004,0.11699999999999999,0.071
2020,Connecticut,male,0.409,0.17,0.049
2020,District of Columbia,male,0.38100000000000006,0.248,0.055
2020,District of Columbia,female,0.326,0.20800000000000002,0.11599999999999999
2020,Delaware,male,0.31499999999999995,0.193,0.063
2020,Delaware,female,0.304,0.098,0.055999999999999994
2020,Florida,female,0.29900000000000004,0.102,0.065
2020,Florida,male,0.327,0.171,0.07400000000000001
2020,Georgia,female,0.297,0.11,0.053
2020,Georgia,male,0.32599999999999996,0.17,0.067
2020,Guam,male,0.196,0.242,0.099
2020,Guam,female,0.17200000000000004,0.08,0.034
2020,Hawaii,female,0.23,0.105,0.069
2020,Hawaii,male,0.23700000000000002,0.209,0.086
2020,Iowa,male,0.25499999999999995,0.282,0.096
2020,Iowa,female,0.28800000000000003,0.149,0.069
2020,Idaho,female,0.23999999999999996,0.10800000000000001,0.06
