year,state,age_group,sex,n_alc_att,total_n,pct_alc_attributable
2011,District of Columbia,15–19,Female,0,2,0
2011,District of Columbia,15–19,Male,0,3,0
2011,District of Columbia,20–24,Female,0,1,0
2011,District of Columbia,20–24,Male,1,3,0.3333333333333333
2011,District of Columbia,25–34,Female,0,2,0
2011,District of Columbia,25–34,Male,2,5,0.4
2011,District of Columbia,35–44,Female,0,0,NA
2011,District of Columbia,35–44,Male,0,1,0
2011,District of Columbia,45-54,Female,0,1,0
2011,District of Columbia,45-54,Male,1,3,0.3333333333333333
2011,District of Columbia,55-64,Female,0,0,NA
2011,District of Columbia,55-64,Male,0,1,0
2011,District of Columbia,65+,Female,0,3,0
2011,District of Columbia,65+,Male,0,1,0
2011,Florida,0-14,Female,0,25,0
2011,Florida,0-14,Male,0,43,0
2011,Florida,15–19,Female,5,58,0.08620689655172414
2011,Florida,15–19,Male,18,122,0.14754098360655737
2011,Florida,20–24,Female,16,68,0.23529411764705882
2011,Florida,20–24,Male,60,203,0.2955665024630542
2011,Florida,25–34,Female,23,94,0.24468085106382978
2011,Florida,25–34,Male,114,281,0.40569395017793597
2011,Florida,35–44,Female,29,86,0.3372093023255814
2011,Florida,35–44,Male,100,244,0.4098360655737705
2011,Florida,45-54,Female,16,105,0.1523809523809524
2011,Florida,45-54,Male,129,330,0.39090909090909093
2011,Florida,55-64,Female,2,67,0.029850746268656716
2011,Florida,55-64,Male,56,231,0.24242424242424243
2011,Florida,65+,Female,3,162,0.018518518518518517
2011,Florida,65+,Male,25,276,0.09057971014492754
2011,Georgia,0-14,Female,0,22,0
2011,Georgia,0-14,Male,0,32,0
